! WACCM output from file data/concat_zm_all_2000.nc
! for F. Gordillo. MLP, Dec 2007
! Date:     19991112
! Lat:        38.000000; Lon:        0.0000000; Time= 0
! Output variables: 
!  z (km), Pressure (atm), Temperature (K), Total density (NT) (mol/cm3) and number densities (mol/cm3) of: 
!  O ,O3, N, NO, NO2, NO3, N2O, N2O5, H, OH, H2, HO2, H2O2, HNO3, CO
! No. of altitudes: 
     141
 121.00   2.398e-08 440.516   3.995e+11  8.510e+10  5.615e+01  1.353e+05  4.176e+07  9.963e-02  4.976e-10  6.592e-01  2.306e-23  1.875e+06  2.875e-03  2.049e+06  2.090e-04  6.425e-10  3.556e-13  1.105e+07
 120.00   2.580e-08 425.572   4.449e+11  9.133e+10  8.932e+01  1.058e+05  4.505e+07  1.236e-01  7.254e-10  7.702e-01  5.519e-23  2.053e+06  4.049e-03  2.314e+06  2.702e-04  1.023e-09  4.768e-13  1.223e+07
 119.00   2.814e-08 408.297   5.058e+11  9.891e+10  1.676e+02  7.387e+04  4.868e+07  1.595e-01  1.155e-09  9.254e-01  1.212e-22  2.284e+06  6.910e-03  2.643e+06  3.838e-04  1.854e-09  6.966e-13  1.378e+07
 118.00   3.088e-08 390.027   5.810e+11  1.077e+11  3.381e+02  4.925e+04  5.272e+07  2.096e-01  1.913e-09  1.127e+00  2.568e-22  2.564e+06  1.282e-02  3.039e+06  5.682e-04  3.561e-09  1.058e-12  1.567e+07
 117.00   3.388e-08 371.757   6.689e+11  1.175e+11  6.832e+02  3.290e+04  5.723e+07  2.760e-01  3.176e-09  1.375e+00  5.450e-22  2.885e+06  2.383e-02  3.502e+06  8.430e-04  6.852e-09  1.610e-12  1.786e+07
 116.00   3.718e-08 353.487   7.719e+11  1.285e+11  1.384e+03  2.203e+04  6.226e+07  3.644e-01  5.285e-09  1.682e+00  1.159e-21  3.253e+06  4.441e-02  4.044e+06  1.254e-03  1.321e-08  2.454e-12  2.040e+07
 115.00   4.080e-08 335.217   8.932e+11  1.409e+11  2.812e+03  1.480e+04  6.793e+07  4.824e-01  8.818e-09  2.061e+00  2.471e-21  3.678e+06  8.298e-02  4.683e+06  1.870e-03  2.554e-08  3.751e-12  2.337e+07
 114.00   4.511e-08 318.652   1.039e+12  1.543e+11  5.732e+03  9.473e+03  7.381e+07  6.382e-01  1.474e-08  2.551e+00  5.277e-21  4.171e+06  1.575e-01  5.436e+06  2.830e-03  5.080e-08  5.965e-12  2.685e+07
 113.00   5.069e-08 305.757   1.217e+12  1.675e+11  1.172e+04  5.448e+03  7.918e+07  8.395e-01  2.467e-08  3.213e+00  1.127e-20  4.741e+06  3.075e-01  6.312e+06  4.405e-03  1.072e-07  1.031e-11  3.093e+07
 112.00   5.696e-08 292.861   1.428e+12  1.822e+11  2.401e+04  3.139e+03  8.510e+07  1.106e+00  4.135e-08  4.052e+00  2.412e-20  5.400e+06  6.016e-01  7.343e+06  6.868e-03  2.267e-07  1.785e-11  3.569e+07
 111.00   6.401e-08 279.965   1.678e+12  1.986e+11  4.927e+04  1.813e+03  9.163e+07  1.461e+00  6.945e-08  5.120e+00  5.170e-20  6.161e+06  1.179e+00  8.558e+06  1.073e-02  4.801e-07  3.096e-11  4.126e+07
 110.00   7.198e-08 267.174   1.977e+12  2.168e+11  1.012e+05  1.050e+03  9.889e+07  1.933e+00  1.170e-07  6.481e+00  1.110e-19  7.046e+06  2.315e+00  9.997e+06  1.682e-02  1.019e-06  5.379e-11  4.780e+07
 109.00   8.259e-08 257.593   2.353e+12  2.340e+11  2.004e+05  6.387e+02  1.074e+08  2.597e+00  2.012e-07  8.430e+00  2.543e-19  8.127e+06  4.474e+00  1.174e+07  2.743e-02  2.293e-06  1.035e-10  5.543e+07
 108.00   9.475e-08 248.012   2.804e+12  2.529e+11  3.973e+05  3.890e+02  1.169e+08  3.493e+00  3.466e-07  1.099e+01  5.851e-19  9.386e+06  8.657e+00  1.380e+07  4.479e-02  5.183e-06  2.005e-10  6.437e+07
 107.00   1.087e-07 238.430   3.346e+12  2.737e+11  7.889e+05  2.373e+02  1.273e+08  4.705e+00  5.981e-07  1.437e+01  1.349e-18  1.086e+07  1.678e+01  1.626e+07  7.326e-02  1.174e-05  3.889e-10  7.486e+07
 106.00   1.255e-07 230.523   3.995e+12  2.938e+11  1.467e+06  1.505e+02  1.381e+08  6.275e+00  1.011e-06  1.880e+01  3.081e-18  1.257e+07  3.112e+01  1.915e+07  1.204e-01  2.645e-05  7.638e-10  8.681e+07
 105.00   1.462e-07 225.202   4.766e+12  3.108e+11  2.459e+06  1.014e+02  1.484e+08  8.229e+00  1.653e-06  2.460e+01  6.858e-18  1.455e+07  5.386e+01  2.253e+07  1.989e-01  5.865e-05  1.543e-09  1.000e+08
 104.00   1.704e-07 219.881   5.689e+12  3.289e+11  4.124e+06  6.831e+01  1.596e+08  1.080e+01  2.703e-06  3.222e+01  1.528e-17  1.686e+07  9.328e+01  2.652e+07  3.289e-01  1.302e-04  3.118e-09  1.153e+08
 103.00   1.989e-07 214.894   6.791e+12  3.469e+11  6.804e+06  4.582e+01  1.702e+08  1.402e+01  4.363e-06  4.221e+01  3.392e-17  1.953e+07  1.600e+02  3.123e+07  5.445e-01  2.889e-04  6.304e-09  1.329e+08
 102.00   2.338e-07 212.225   8.087e+12  3.560e+11  9.976e+06  2.968e+01  1.700e+08  1.688e+01  6.393e-06  5.430e+01  6.729e-17  2.261e+07  2.556e+02  3.675e+07  9.067e-01  6.237e-04  1.258e-08  1.516e+08
 101.00   2.750e-07 209.556   9.631e+12  3.653e+11  1.463e+07  1.924e+01  1.699e+08  2.032e+01  9.370e-06  6.986e+01  1.335e-16  2.617e+07  4.084e+02  4.324e+07  1.510e+00  1.347e-03  2.510e-08  1.731e+08
 100.00   3.234e-07 206.955   1.147e+13  3.744e+11  2.136e+07  1.245e+01  1.691e+08  2.438e+01  1.367e-05  8.990e+01  2.649e-16  3.030e+07  6.511e+02  5.089e+07  2.516e+00  2.909e-03  5.010e-08  1.976e+08
  99.00   3.820e-07 205.929   1.361e+13  3.698e+11  2.809e+07  7.795e+00  1.555e+08  2.675e+01  1.790e-05  1.130e+02  4.783e-16  3.501e+07  9.857e+02  5.988e+07  4.246e+00  6.222e-03  9.867e-08  2.240e+08
  98.00   4.511e-07 204.904   1.616e+13  3.652e+11  3.695e+07  4.881e+00  1.429e+08  2.936e+01  2.345e-05  1.421e+02  8.637e-16  4.046e+07  1.492e+03  7.046e+07  7.164e+00  1.331e-02  1.943e-07  2.539e+08
  97.00   5.328e-07 203.929   1.917e+13  3.604e+11  4.844e+07  3.039e+00  1.311e+08  3.213e+01  3.061e-05  1.786e+02  1.567e-15  4.674e+07  2.255e+03  8.290e+07  1.209e+01  2.848e-02  3.829e-07  2.878e+08
  96.00   6.297e-07 204.285   2.262e+13  3.467e+11  5.811e+07  1.619e+00  1.132e+08  3.287e+01  3.676e-05  2.203e+02  3.184e-15  5.367e+07  3.252e+03  9.750e+07  2.035e+01  6.146e-02  7.621e-07  3.258e+08
  95.00   7.442e-07 204.641   2.669e+13  3.336e+11  6.972e+07  8.624e-01  9.779e+07  3.362e+01  4.414e-05  2.718e+02  6.470e-15  6.162e+07  4.688e+03  1.147e+08  3.427e+01  1.326e-01  1.517e-06  3.688e+08
  94.00   8.794e-07 205.028   3.148e+13  3.204e+11  8.341e+07  4.748e-01  8.445e+07  3.437e+01  5.296e-05  3.351e+02  1.344e-14  7.072e+07  6.752e+03  1.348e+08  5.773e+01  2.869e-01  3.029e-06  4.175e+08
  93.00   1.037e-06 206.087   3.695e+13  2.977e+11  9.354e+07  5.408e-01  7.263e+07  3.484e+01  6.234e-05  4.084e+02  3.763e-14  8.039e+07  9.471e+03  1.582e+08  9.829e+01  6.392e-01  6.324e-06  4.702e+08
  92.00   1.224e-06 207.145   4.336e+13  2.766e+11  1.049e+08  6.159e-01  6.246e+07  3.531e+01  7.340e-05  4.977e+02  1.054e-13  9.140e+07  1.328e+04  1.857e+08  1.674e+02  1.424e+00  1.320e-05  5.296e+08
  91.00   1.444e-06 208.213   5.089e+13  2.567e+11  1.175e+08  7.050e-01  5.374e+07  3.580e+01  8.642e-05  6.062e+02  2.971e-13  1.039e+08  1.863e+04  2.179e+08  2.851e+02  3.183e+00  2.773e-05  5.966e+08
  90.00   1.698e-06 209.761   5.940e+13  2.238e+11  1.229e+08  1.064e+00  4.712e+07  3.702e+01  1.029e-04  7.326e+02  9.362e-13  1.154e+08  2.572e+04  2.547e+08  4.992e+02  7.526e+00  6.401e-05  6.717e+08
